1: 2,4
2: 1,4,5,3
3: 2,5,6
4: 1,2,5,9,8,7
5: 2,3,6,9,4
6: 3,5,9,11,10
7: 4,8,13,12
8: 7,4,9,11,14,13
9: 4,5,6,10,11,8
10: 11,9,6,17,16
11: 8,9,6,10,16,15,14
12: 7,13,18
13: 12,7,8,14,19,18
14: 13,8,11,15,20,19
15: 14,11,16,20
16: 15,11,10,17,21,20
17: 16,10,22,21
18: 12,13,19,23
19: 18,13,14,20,24,23
20: 19,14,15,16,21,26,25,24
21: 20,16,17,22,27,26
22: 21,17,27
23: 18,19,24
24: 23,19,20,25,29
25: 29,24,20,26,33,32,31
26: 20,21,27,30,36,34,33,25
27: 22,21,26,30
28: 29,31
29: 24,28,31,25
30: 27,26,36,37
31: 29,28,38,25,32
32: 31,38,33,25,39
33: 32,25,26,32,34,39
34: 33,26,36,35
35: 34,36
36: 35,34,26,30,37
37: 36,30
38: 42,41,40,39,32,31
39: 40,38,32,33
40: 41,38,39
41: 42,38,40
42: 43,45,46,41,38
43: 44,42,45
44: 43,48,45
45: 43,44,42,46,47
46: 45,47,42
47: 46,45
48: 44
